,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
359,DS,Simulation,Over 50 Under 150 Publisher,E,2007.0,70.0,1.0
362,PS2,Action,Take-Two Interactive,M,2006.0,78.0,1.0
363,PS2,Action,Sony Computer Entertainment,M,2002.0,72.0,1.0
365,PS2,Shooter,Electronic Arts,T,2001.0,72.0,1.0
368,X360,Sports,Electronic Arts,E,2010.0,88.0,1.0
370,X360,Shooter,Electronic Arts,M,2008.0,89.0,1.0
372,XOne,Action,Ubisoft,M,2014.0,72.0,1.0
374,X360,Action,Capcom,M,2009.0,83.0,1.0
375,X360,Action,Ubisoft,M,2010.0,89.0,1.0
376,PS3,Shooter,Electronic Arts,M,2013.0,80.0,1.0
377,X360,Action,Over 50 Under 150 Publisher,T,2009.0,92.0,1.0
378,X360,Shooter,Electronic Arts,M,2013.0,79.0,1.0
379,X360,Shooter,Electronic Arts,M,2010.0,88.0,1.0
381,DS,Misc,Activision,E10+,2008.0,71.0,1.0
382,DS,Misc,Nintendo,E,2006.0,83.0,1.0
384,X360,Shooter,Take-Two Interactive,M,2009.0,84.0,1.0
385,PS2,Fighting,Namco Bandai Games,T,2002.0,79.0,1.0
387,PS,Action,Take-Two Interactive,T,1998.0,70.0,1.0
388,PS4,Action,Konami Digital Entertainment,M,2015.0,93.0,1.0
389,PS2,Action,Activision,T,2004.0,80.0,1.0
391,PS2,Sports,Electronic Arts,E,2002.0,88.0,1.0
392,PS3,Platform,Sony Computer Entertainment,E,2011.0,91.0,1.0
393,PS,Misc,Sony Computer Entertainment,E,2000.0,68.0,1.0
394,PS4,Action,Ubisoft,M,2015.0,76.0,1.0
395,X360,Action,Over 50 Under 150 Publisher,E10+,2008.0,76.0,1.0
396,XOne,Shooter,Activision,T,2014.0,75.0,1.0
399,PS3,Shooter,Ubisoft,M,2012.0,90.0,1.0
402,PS2,Shooter,Electronic Arts,T,2002.0,77.0,1.0
405,PS2,Action,Over 50 Under 150 Publisher,T,2005.0,60.0,1.0
406,DS,Action,Nintendo,E10+,2009.0,87.0,1.0
407,PS2,Shooter,Take-Two Interactive,M,2001.0,80.0,1.0
