,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
5782,PS2,Strategy,Over 50 Under 150 Publisher,E,2002.0,77.0,0.0
5786,X360,Racing,Over 50 Under 150 Publisher,E,2013.0,79.0,0.0
5789,GBA,Racing,THQ,E,2003.0,48.0,0.0
5791,X360,Role-Playing,Over 50 Under 150 Publisher,T,2007.0,63.0,0.0
5792,X360,Fighting,Ubisoft,E10+,2011.0,61.0,0.0
5793,DS,Adventure,Over 50 Under 150 Publisher,E,2009.0,45.0,0.0
5795,PS2,Platform,Ubisoft,E,2000.0,90.0,0.0
5799,PSV,Sports,Electronic Arts,E,2012.0,63.0,0.0
5800,PS,Action,Under 50 Games Publisher,T,2000.0,74.0,0.0
5801,PS3,Shooter,Over 50 Under 150 Publisher,M,2007.0,77.0,0.0
5802,PS2,Fighting,THQ,M,2003.0,73.0,0.0
5803,PS2,Role-Playing,Ubisoft,T,2000.0,62.0,0.0
5806,Wii,Action,Capcom,M,2008.0,76.0,0.0
5807,X360,Action,Over 50 Under 150 Publisher,T,2007.0,60.0,0.0
5808,PSP,Action,Konami Digital Entertainment,M,2010.0,73.0,0.0
5812,X360,Simulation,Konami Digital Entertainment,E,2008.0,65.0,0.0
5813,PS2,Fighting,Over 50 Under 150 Publisher,T,2004.0,55.0,0.0
5814,PSV,Role-Playing,Namco Bandai Games,T,2014.0,67.0,0.0
5817,PS2,Strategy,THQ,M,2005.0,74.0,0.0
5819,PS2,Simulation,Electronic Arts,T,2006.0,68.0,0.0
5824,GBA,Platform,THQ,E,2002.0,46.0,0.0
5827,DS,Simulation,Electronic Arts,E,2009.0,64.0,0.0
5829,PS3,Fighting,Over 50 Under 150 Publisher,M,2012.0,49.0,0.0
5830,GC,Action,Activision,E,2004.0,69.0,0.0
5831,PS2,Sports,Over 50 Under 150 Publisher,T,2004.0,77.0,0.0
5834,XB,Action,Konami Digital Entertainment,E,2003.0,56.0,0.0
5835,PSP,Misc,Capcom,T,2006.0,72.0,0.0
5836,PC,Simulation,Over 50 Under 150 Publisher,E10+,2006.0,79.0,0.0
5837,XOne,Action,Over 50 Under 150 Publisher,E10+,2016.0,76.0,0.0
5838,PSV,Platform,Sony Computer Entertainment,E10+,2011.0,57.0,0.0
5839,PSP,Platform,Activision,T,2007.0,52.0,0.0
5843,DS,Role-Playing,Under 50 Games Publisher,E10+,2010.0,85.0,0.0
5844,PS3,Action,Sony Computer Entertainment,E10+,2012.0,70.0,0.0
5846,X360,Action,Electronic Arts,E10+,2007.0,68.0,0.0
5847,PS2,Role-Playing,Ubisoft,T,2002.0,71.0,0.0
5848,Wii,Sports,Ubisoft,E,2009.0,72.0,0.0
5849,X360,Action,Activision,E10+,2007.0,60.0,0.0
5850,X360,Misc,Activision,T,2009.0,57.0,0.0
5852,DS,Action,Over 50 Under 150 Publisher,E10+,2010.0,74.0,0.0
5853,PC,Simulation,Electronic Arts,T,2004.0,90.0,0.0
5855,GBA,Racing,Electronic Arts,E,2003.0,77.0,0.0
5856,X360,Misc,Konami Digital Entertainment,T,2010.0,74.0,0.0
5859,XB,Sports,Under 50 Games Publisher,T,2002.0,72.0,0.0
5861,Wii,Action,Electronic Arts,E10+,2010.0,67.0,0.0
5862,X360,Action,Over 50 Under 150 Publisher,E10+,2009.0,73.0,0.0
5863,PS2,Adventure,Over 50 Under 150 Publisher,T,2002.0,67.0,0.0
5868,GC,Sports,Electronic Arts,E,2005.0,88.0,0.0
5869,DS,Action,THQ,E,2006.0,59.0,0.0
5870,PS2,Shooter,Under 50 Games Publisher,T,2000.0,66.0,0.0
5872,PSP,Shooter,Sony Computer Entertainment,M,2006.0,87.0,0.0
5875,DS,Role-Playing,Nintendo,E10+,2008.0,69.0,0.0
5877,X360,Action,THQ,E10+,2009.0,61.0,0.0
5878,PSV,Racing,Sony Computer Entertainment,E,2012.0,62.0,0.0
5879,X360,Sports,Electronic Arts,E,2005.0,64.0,0.0
5880,Wii,Sports,Namco Bandai Games,E,2010.0,60.0,0.0
5882,PC,Racing,Electronic Arts,T,2005.0,82.0,0.0
5886,PS3,Shooter,Over 50 Under 150 Publisher,T,2010.0,58.0,0.0
5887,PSV,Fighting,Capcom,T,2011.0,80.0,0.0
5888,Wii,Strategy,Over 50 Under 150 Publisher,T,2009.0,87.0,0.0
5891,PS3,Action,Over 50 Under 150 Publisher,T,2009.0,64.0,0.0
5895,X360,Role-Playing,Over 50 Under 150 Publisher,M,2010.0,67.0,0.0
5896,DS,Strategy,THQ,E,2008.0,60.0,0.0
5897,XB,Shooter,Over 50 Under 150 Publisher,M,2005.0,72.0,0.0
5898,PS4,Action,Activision,M,2015.0,60.0,0.0
5899,PS4,Sports,Konami Digital Entertainment,E,2016.0,72.0,0.0
5902,PS3,Shooter,Over 50 Under 150 Publisher,M,2009.0,61.0,0.0
5903,PS2,Platform,Capcom,E,2004.0,68.0,0.0
5904,X360,Shooter,Atari,M,2009.0,82.0,0.0
5905,PS2,Racing,Take-Two Interactive,E,2005.0,58.0,0.0
5908,PSP,Racing,Under 50 Games Publisher,T,2008.0,74.0,0.0
5919,GBA,Misc,Atari,E,2003.0,69.0,0.0
5921,DS,Simulation,Ubisoft,E,2007.0,43.0,0.0
5922,Wii,Simulation,Over 50 Under 150 Publisher,E,2008.0,69.0,0.0
5924,PS2,Simulation,Over 50 Under 150 Publisher,T,2005.0,76.0,0.0
5925,Wii,Action,Ubisoft,T,2007.0,70.0,0.0
5926,GC,Role-Playing,Electronic Arts,T,2004.0,74.0,0.0
5927,DS,Adventure,Nintendo,T,2005.0,70.0,0.0
5928,PSP,Role-Playing,Activision,T,2005.0,84.0,0.0
5931,PC,Shooter,Take-Two Interactive,M,2014.0,75.0,0.0
5932,XB,Sports,Electronic Arts,E,2007.0,76.0,0.0
5934,Wii,Simulation,Nintendo,T,2007.0,77.0,0.0
5935,PS3,Action,Sony Computer Entertainment,T,2012.0,77.0,0.0
5936,XB,Role-Playing,Ubisoft,T,2003.0,65.0,0.0
5937,3DS,Action,Electronic Arts,E,2012.0,68.0,0.0
5938,PSP,Simulation,Namco Bandai Games,T,2010.0,71.0,0.0
5941,Wii,Sports,Take-Two Interactive,E10+,2009.0,68.0,0.0
5943,X360,Shooter,Over 50 Under 150 Publisher,T,2008.0,43.0,0.0
5946,3DS,Action,Sega,E,2014.0,47.0,0.0
5947,PS2,Misc,Under 50 Games Publisher,E,2002.0,30.0,0.0
5948,Wii,Sports,Konami Digital Entertainment,E,2007.0,83.0,0.0
5951,PS2,Role-Playing,Sega,T,2005.0,81.0,0.0
5952,PS2,Strategy,Over 50 Under 150 Publisher,T,2002.0,79.0,0.0
5953,PS3,Shooter,Ubisoft,M,2011.0,45.0,0.0
5956,PS3,Strategy,Activision,E,2013.0,49.0,0.0
5957,XOne,Action,Konami Digital Entertainment,M,2014.0,76.0,0.0
5958,PC,Simulation,Electronic Arts,E,2003.0,84.0,0.0
5960,Wii,Puzzle,Under 50 Games Publisher,E10+,2007.0,71.0,0.0
5963,PS2,Sports,Ubisoft,E10+,2007.0,60.0,0.0
5964,PS,Racing,Under 50 Games Publisher,E,2000.0,71.0,0.0
5965,PS4,Role-Playing,Over 50 Under 150 Publisher,T,2015.0,80.0,0.0
5968,Wii,Action,Capcom,T,2010.0,65.0,0.0
5969,PS2,Platform,Ubisoft,E,2003.0,76.0,0.0
5971,PSP,Action,Over 50 Under 150 Publisher,T,2008.0,56.0,0.0
5972,DS,Puzzle,Sega,T,2004.0,75.0,0.0
5973,PS2,Shooter,Over 50 Under 150 Publisher,M,2004.0,84.0,0.0
5976,DS,Puzzle,Capcom,E,2008.0,70.0,0.0
5981,Wii,Action,Capcom,M,2009.0,61.0,0.0
5983,GC,Platform,Over 50 Under 150 Publisher,E,2004.0,62.0,0.0
5984,X360,Racing,Electronic Arts,E,2007.0,59.0,0.0
5986,PC,Shooter,Under 5 Games Publisher,T,2011.0,80.0,0.0
5987,XB,Sports,Over 50 Under 150 Publisher,E,2003.0,80.0,0.0
5989,PS3,Adventure,Namco Bandai Games,T,2010.0,72.0,0.0
5990,WiiU,Action,Ubisoft,M,2013.0,86.0,0.0
5991,GBA,Platform,Under 50 Games Publisher,E,2001.0,72.0,0.0
5992,GBA,Role-Playing,Nintendo,E10+,2003.0,76.0,0.0
5993,DS,Action,THQ,E,2008.0,50.0,0.0
5995,PS2,Racing,Ubisoft,E,2003.0,48.0,0.0
5996,PS2,Misc,Sony Computer Entertainment,T,2008.0,75.0,0.0
6000,GBA,Sports,Activision,E,2003.0,70.0,0.0
6001,GBA,Action,Atari,E10+,2005.0,69.0,0.0
6006,PC,Sports,Electronic Arts,E,2014.0,82.0,0.0
6007,XB,Action,Take-Two Interactive,M,2005.0,85.0,0.0
6008,PS2,Role-Playing,Over 50 Under 150 Publisher,M,2001.0,73.0,0.0
6009,Wii,Fighting,Atari,T,2006.0,72.0,0.0
6010,XB,Sports,Activision,T,2002.0,58.0,0.0
6012,GBA,Action,Activision,E,2001.0,61.0,0.0
6013,PS2,Racing,Namco Bandai Games,T,2003.0,66.0,0.0
6016,PS3,Action,Sega,E10+,2007.0,40.0,0.0
6017,GC,Racing,Over 50 Under 150 Publisher,E,2003.0,70.0,0.0
6019,PS3,Misc,Sega,T,2013.0,73.0,0.0
6022,XB,Fighting,Electronic Arts,T,2005.0,58.0,0.0
6025,GBA,Role-Playing,Nintendo,E10+,2006.0,92.0,0.0
6026,PSV,Action,Over 50 Under 150 Publisher,E10+,2012.0,54.0,0.0
6029,PS2,Action,Capcom,T,2004.0,90.0,0.0
6031,X360,Shooter,Over 50 Under 150 Publisher,T,2009.0,76.0,0.0
6033,X360,Role-Playing,Over 50 Under 150 Publisher,T,2012.0,61.0,0.0
6037,PS3,Action,Over 50 Under 150 Publisher,T,2007.0,58.0,0.0
6038,X360,Action,Konami Digital Entertainment,M,2009.0,59.0,0.0
6039,X360,Simulation,Sega,T,2006.0,71.0,0.0
6040,PS2,Action,Electronic Arts,E,2003.0,56.0,0.0
6041,XB,Fighting,Over 50 Under 150 Publisher,T,2003.0,68.0,0.0
6044,Wii,Action,Activision,E10+,2007.0,57.0,0.0
6049,PS2,Action,Under 50 Games Publisher,M,2007.0,58.0,0.0
6051,PSP,Adventure,Over 50 Under 150 Publisher,T,2006.0,52.0,0.0
6055,PS2,Puzzle,Under 50 Games Publisher,E,2006.0,75.0,0.0
6056,X360,Shooter,Over 50 Under 150 Publisher,M,2011.0,69.0,0.0
6057,X360,Action,Activision,T,2011.0,59.0,0.0
6059,DS,Sports,Ubisoft,E,2007.0,56.0,0.0
6060,DS,Action,Ubisoft,T,2009.0,69.0,0.0
6061,PS2,Shooter,Sony Computer Entertainment,T,2007.0,70.0,0.0
6063,PS2,Platform,Atari,T,2003.0,64.0,0.0
6065,PSP,Sports,Sony Computer Entertainment,E,2007.0,82.0,0.0
6067,GBA,Platform,Under 50 Games Publisher,E,2001.0,58.0,0.0
6068,PS2,Racing,Atari,M,2006.0,69.0,0.0
6072,DS,Platform,Capcom,E,2006.0,76.0,0.0
6073,PS2,Fighting,Over 50 Under 150 Publisher,M,2004.0,46.0,0.0
6074,GBA,Action,Ubisoft,E,2002.0,68.0,0.0
6075,Wii,Misc,Activision,T,2009.0,50.0,0.0
6076,PS,Fighting,Sony Computer Entertainment,T,1998.0,84.0,0.0
6077,PS3,Shooter,Namco Bandai Games,M,2010.0,60.0,0.0
6078,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2006.0,71.0,0.0
6080,PS2,Sports,Over 50 Under 150 Publisher,E,2002.0,76.0,0.0
6082,PS3,Action,Under 50 Games Publisher,T,2011.0,78.0,0.0
6083,PS3,Sports,Activision,E,2010.0,56.0,0.0
6086,XB,Sports,Electronic Arts,E,2004.0,80.0,0.0
6091,PSP,Action,Under 50 Games Publisher,T,2008.0,70.0,0.0
6095,GC,Action,THQ,E,2004.0,65.0,0.0
6096,XB,Action,Konami Digital Entertainment,M,2001.0,84.0,0.0
6098,WiiU,Action,Nintendo,E,2014.0,71.0,0.0
6101,PS2,Sports,THQ,E,2001.0,57.0,0.0
6102,PS2,Sports,Over 50 Under 150 Publisher,E,2002.0,82.0,0.0
6103,X360,Platform,Capcom,M,2009.0,70.0,0.0
6104,X360,Misc,Electronic Arts,E,2010.0,66.0,0.0
6105,PS3,Misc,Electronic Arts,E,2009.0,66.0,0.0
6106,PS3,Action,Sony Computer Entertainment,E10+,2011.0,61.0,0.0
6109,PS2,Sports,Under 50 Games Publisher,E,2000.0,54.0,0.0
6110,PS2,Shooter,Over 50 Under 150 Publisher,T,2001.0,65.0,0.0
6114,X360,Sports,Over 50 Under 150 Publisher,E,2011.0,55.0,0.0
6118,XB,Platform,Activision,E10+,2005.0,71.0,0.0
6120,X360,Fighting,Sega,T,2007.0,89.0,0.0
6121,PS2,Action,Activision,T,2009.0,55.0,0.0
6122,X360,Strategy,Activision,E,2013.0,59.0,0.0
6129,GC,Sports,Over 50 Under 150 Publisher,T,2001.0,78.0,0.0
6130,PS3,Action,Namco Bandai Games,T,2014.0,71.0,0.0
6134,XB,Action,Activision,M,2005.0,60.0,0.0
6135,PS2,Sports,Over 50 Under 150 Publisher,T,2003.0,65.0,0.0
6136,PS2,Sports,Electronic Arts,E,2008.0,55.0,0.0
6137,Wii,Adventure,THQ,E10+,2006.0,56.0,0.0
6139,GBA,Platform,Konami Digital Entertainment,T,2003.0,91.0,0.0
6140,PS2,Adventure,Ubisoft,E,2002.0,57.0,0.0
6141,DS,Role-Playing,Under 50 Games Publisher,M,2009.0,80.0,0.0
6144,PS3,Shooter,Electronic Arts,M,2013.0,58.0,0.0
6149,PSP,Misc,Sony Computer Entertainment,E,2011.0,74.0,0.0
6150,Wii,Action,Activision,E10+,2009.0,75.0,0.0
6154,PS2,Sports,Take-Two Interactive,E,2000.0,65.0,0.0
6156,XB,Fighting,Over 50 Under 150 Publisher,M,2003.0,65.0,0.0
6157,PS3,Misc,Activision,T,2009.0,59.0,0.0
6159,GC,Fighting,Atari,T,2004.0,66.0,0.0
6160,DS,Platform,Activision,E,2006.0,71.0,0.0
6161,GBA,Racing,Konami Digital Entertainment,E,2002.0,69.0,0.0
6165,PS3,Action,Sony Computer Entertainment,M,2008.0,78.0,0.0
6169,XB,Sports,Over 50 Under 150 Publisher,E,2001.0,79.0,0.0
6170,X360,Racing,Over 50 Under 150 Publisher,E,2013.0,78.0,0.0
6172,PS,Adventure,THQ,M,2000.0,51.0,0.0
6173,Wii,Action,Electronic Arts,E10+,2011.0,64.0,0.0
6177,PS,Sports,Over 50 Under 150 Publisher,E,2001.0,67.0,0.0
6178,PC,Action,Over 50 Under 150 Publisher,M,2014.0,68.0,0.0
6180,X360,Misc,Konami Digital Entertainment,T,2008.0,38.0,0.0
6181,X360,Action,Capcom,M,2011.0,72.0,0.0
6182,Wii,Simulation,Under 50 Games Publisher,T,2008.0,41.0,0.0
6185,PS2,Sports,Sony Computer Entertainment,E,2004.0,61.0,0.0
6189,PS2,Racing,Over 50 Under 150 Publisher,T,2002.0,81.0,0.0
6190,PS,Sports,Over 50 Under 150 Publisher,E,2000.0,57.0,0.0
6192,GC,Role-Playing,Nintendo,T,2003.0,80.0,0.0
6195,X360,Action,Sega,T,2010.0,41.0,0.0
6196,PS2,Action,Ubisoft,T,2004.0,65.0,0.0
6197,GBA,Racing,Under 50 Games Publisher,E,2002.0,78.0,0.0
6199,PSP,Action,Take-Two Interactive,M,2007.0,81.0,0.0
6200,PSP,Simulation,Sony Computer Entertainment,E,2010.0,57.0,0.0
6204,XB,Racing,Over 50 Under 150 Publisher,E,2004.0,87.0,0.0
6205,DS,Puzzle,Namco Bandai Games,E,2005.0,71.0,0.0
6207,X360,Racing,Over 50 Under 150 Publisher,E,2012.0,64.0,0.0
6208,WiiU,Misc,Nintendo,E10+,2012.0,60.0,0.0
6209,GBA,Platform,Activision,E,2006.0,49.0,0.0
6210,PS2,Racing,Over 50 Under 150 Publisher,E,2001.0,62.0,0.0
6213,GC,Platform,Over 50 Under 150 Publisher,E10+,2005.0,67.0,0.0
6214,X360,Sports,Electronic Arts,E10+,2006.0,79.0,0.0
6215,PC,Strategy,Atari,E,2004.0,81.0,0.0
6216,GC,Platform,Electronic Arts,E,2002.0,69.0,0.0
6217,GBA,Fighting,THQ,E,2002.0,73.0,0.0
6220,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2004.0,67.0,0.0
6221,XB,Racing,Electronic Arts,E,2005.0,79.0,0.0
6222,PS2,Shooter,THQ,M,2004.0,70.0,0.0
6223,XOne,Action,Electronic Arts,E,2015.0,60.0,0.0
6224,X360,Shooter,Sega,M,2008.0,76.0,0.0
6225,XB,Sports,Electronic Arts,E,2001.0,89.0,0.0
6226,XOne,Action,Over 50 Under 150 Publisher,E10+,2014.0,69.0,0.0
6227,X360,Role-Playing,Over 50 Under 150 Publisher,T,2013.0,69.0,0.0
6228,PSP,Sports,Electronic Arts,E,2006.0,78.0,0.0
6234,PS2,Action,Capcom,M,2005.0,75.0,0.0
6238,PS3,Racing,Activision,E,2011.0,62.0,0.0
6239,PS2,Action,Electronic Arts,E10+,2007.0,61.0,0.0
6240,Wii,Action,Activision,T,2010.0,41.0,0.0
6241,PS2,Racing,THQ,T,2007.0,71.0,0.0
6243,Wii,Sports,Take-Two Interactive,E10+,2010.0,62.0,0.0
6244,XB,Action,Activision,T,2005.0,62.0,0.0
6245,GBA,Sports,Activision,E,2001.0,71.0,0.0
6248,PS2,Racing,Namco Bandai Games,E,2000.0,77.0,0.0
6250,3DS,Action,Over 50 Under 150 Publisher,T,2013.0,68.0,0.0
6252,PS3,Action,Electronic Arts,M,2011.0,77.0,0.0
6253,PC,Strategy,Ubisoft,T,2010.0,76.0,0.0
6258,GC,Sports,Electronic Arts,E,2003.0,84.0,0.0
6260,XB,Racing,Electronic Arts,E,2002.0,84.0,0.0
6267,PSP,Sports,Electronic Arts,E,2006.0,68.0,0.0
6270,PS2,Shooter,Under 50 Games Publisher,M,2002.0,56.0,0.0
6272,DS,Action,Konami Digital Entertainment,E,2010.0,65.0,0.0
6274,GC,Simulation,Electronic Arts,T,2006.0,66.0,0.0
6276,3DS,Action,Under 50 Games Publisher,E,2014.0,69.0,0.0
6278,PC,Strategy,Under 50 Games Publisher,T,2011.0,78.0,0.0
6279,X360,Sports,Take-Two Interactive,E,2007.0,79.0,0.0
6281,PS2,Simulation,Konami Digital Entertainment,T,2003.0,75.0,0.0
6283,PS,Sports,Sony Computer Entertainment,E,2000.0,71.0,0.0
6285,XB,Sports,Electronic Arts,T,2002.0,78.0,0.0
6291,PS2,Fighting,Namco Bandai Games,T,2005.0,52.0,0.0
6293,X360,Strategy,Ubisoft,T,2010.0,78.0,0.0
6294,PS2,Strategy,Atari,E,2004.0,66.0,0.0
6296,DS,Puzzle,Under 5 Games Publisher,E,2007.0,71.0,0.0
6297,X360,Action,THQ,E,2007.0,56.0,0.0
6298,X360,Sports,Ubisoft,E,2011.0,41.0,0.0
6302,DS,Misc,Electronic Arts,E10+,2007.0,58.0,0.0
6305,PS3,Sports,Sony Computer Entertainment,E,2006.0,63.0,0.0
6306,X360,Shooter,Ubisoft,M,2011.0,47.0,0.0
6307,DS,Misc,Ubisoft,E,2008.0,59.0,0.0
6309,DS,Racing,Electronic Arts,E,2005.0,45.0,0.0
6311,X360,Shooter,Under 50 Games Publisher,T,2009.0,69.0,0.0
6314,XB,Sports,Sega,E,2003.0,87.0,0.0
6317,PS2,Misc,Under 5 Games Publisher,T,2002.0,46.0,0.0
6318,PS3,Action,Activision,M,2012.0,40.0,0.0
6319,X360,Sports,Take-Two Interactive,E10+,2007.0,75.0,0.0
6321,DS,Simulation,Under 50 Games Publisher,E,2007.0,46.0,0.0
6322,X360,Strategy,Under 50 Games Publisher,E10+,2010.0,89.0,0.0
6326,PS4,Action,Over 50 Under 150 Publisher,T,2016.0,73.0,0.0
6328,PS2,Action,Take-Two Interactive,M,2001.0,53.0,0.0
6329,X360,Action,Sega,T,2008.0,55.0,0.0
6330,XB,Shooter,Sega,T,2002.0,90.0,0.0
6334,DS,Simulation,Nintendo,E,2010.0,87.0,0.0
6339,DS,Role-Playing,Konami Digital Entertainment,E10+,2008.0,76.0,0.0
6340,X360,Action,Electronic Arts,T,2006.0,51.0,0.0
6341,DS,Role-Playing,Under 50 Games Publisher,T,2009.0,84.0,0.0
6347,PS4,Platform,Sony Computer Entertainment,E,2015.0,81.0,0.0
6348,PS2,Sports,Over 50 Under 150 Publisher,E10+,2006.0,56.0,0.0
6349,DS,Role-Playing,Under 50 Games Publisher,E10+,2008.0,82.0,0.0
6352,PS3,Action,Sega,T,2008.0,55.0,0.0
6353,X360,Action,Over 50 Under 150 Publisher,M,2010.0,68.0,0.0
6357,Wii,Action,THQ,E10+,2010.0,49.0,0.0
6359,PS2,Racing,Take-Two Interactive,E,2004.0,50.0,0.0
6361,PS3,Action,Ubisoft,E10+,2011.0,59.0,0.0
6365,Wii,Sports,Take-Two Interactive,E,2010.0,53.0,0.0
6366,GBA,Action,THQ,E,2002.0,55.0,0.0
6367,PSP,Fighting,Namco Bandai Games,T,2010.0,63.0,0.0
6368,3DS,Role-Playing,Under 50 Games Publisher,T,2013.0,80.0,0.0
6371,GBA,Role-Playing,Nintendo,E,2006.0,83.0,0.0
6373,PS,Simulation,Activision,E,2000.0,76.0,0.0
6374,GC,Shooter,Over 50 Under 150 Publisher,T,2002.0,67.0,0.0
6377,PS3,Action,Over 50 Under 150 Publisher,T,2011.0,64.0,0.0
6380,PSP,Fighting,Namco Bandai Games,T,2006.0,70.0,0.0
6381,X360,Action,Activision,E,2012.0,63.0,0.0
6383,Wii,Sports,Take-Two Interactive,E,2009.0,61.0,0.0
6385,XOne,Sports,Take-Two Interactive,T,2016.0,68.0,0.0
6387,X360,Strategy,Over 50 Under 150 Publisher,T,2007.0,73.0,0.0
6389,PS2,Racing,Under 50 Games Publisher,E,2002.0,59.0,0.0
6390,XOne,Racing,Under 5 Games Publisher,E,2015.0,81.0,0.0
6391,PSP,Sports,Sony Computer Entertainment,E,2009.0,78.0,0.0
6392,PS,Misc,Under 5 Games Publisher,E,1999.0,66.0,0.0
6403,PS2,Simulation,Under 5 Games Publisher,T,2004.0,73.0,0.0
6405,PS2,Sports,Konami Digital Entertainment,T,2002.0,44.0,0.0
6409,Wii,Misc,Konami Digital Entertainment,T,2009.0,49.0,0.0
6410,XB,Sports,Under 50 Games Publisher,M,2003.0,77.0,0.0
6411,GC,Adventure,Ubisoft,T,2001.0,70.0,0.0
6419,PS3,Action,Activision,T,2008.0,67.0,0.0
6420,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2001.0,67.0,0.0
6421,GC,Racing,Over 50 Under 150 Publisher,E,2003.0,66.0,0.0
6424,Wii,Sports,Take-Two Interactive,T,2009.0,55.0,0.0
6425,Wii,Racing,Nintendo,E,2009.0,77.0,0.0
6427,GBA,Action,Konami Digital Entertainment,E,2003.0,59.0,0.0
6430,XB,Adventure,Electronic Arts,T,2005.0,88.0,0.0
6431,PS2,Fighting,Under 50 Games Publisher,T,2004.0,64.0,0.0
6433,PS3,Role-Playing,Over 50 Under 150 Publisher,T,2012.0,70.0,0.0
6435,PS4,Shooter,Take-Two Interactive,T,2016.0,68.0,0.0
6438,Wii,Simulation,Namco Bandai Games,E10+,2009.0,64.0,0.0
6439,PS2,Adventure,Sony Computer Entertainment,M,2002.0,78.0,0.0
6442,X360,Action,Capcom,M,2013.0,75.0,0.0
6443,X360,Sports,Activision,E,2010.0,53.0,0.0
6445,PS3,Action,Sony Computer Entertainment,T,2012.0,74.0,0.0
6447,X360,Shooter,Electronic Arts,M,2013.0,54.0,0.0
6448,PS3,Platform,Under 50 Games Publisher,E10+,2013.0,80.0,0.0
6450,PS3,Action,Ubisoft,M,2007.0,78.0,0.0
6453,DS,Action,Capcom,M,2006.0,71.0,0.0
6455,X360,Shooter,Atari,M,2008.0,47.0,0.0
6456,X360,Action,Ubisoft,T,2005.0,80.0,0.0
6458,DS,Platform,Ubisoft,E,2005.0,58.0,0.0
6460,GBA,Racing,Under 5 Games Publisher,E,2002.0,49.0,0.0
6463,XB,Sports,Over 50 Under 150 Publisher,E,2002.0,79.0,0.0
6464,PS2,Racing,Activision,E,2004.0,77.0,0.0
6467,PS2,Sports,Sony Computer Entertainment,E,2003.0,58.0,0.0
6469,DS,Adventure,Over 50 Under 150 Publisher,E10+,2008.0,46.0,0.0
6470,GBA,Platform,Konami Digital Entertainment,T,2002.0,87.0,0.0
6471,PS2,Racing,Sony Computer Entertainment,E,2001.0,73.0,0.0
6474,DS,Adventure,Over 50 Under 150 Publisher,T,2006.0,63.0,0.0
6475,XB,Role-Playing,Over 50 Under 150 Publisher,T,2004.0,77.0,0.0
6476,DS,Sports,Electronic Arts,E,2004.0,68.0,0.0
6477,GC,Sports,Electronic Arts,E,2004.0,89.0,0.0
6478,DS,Puzzle,Nintendo,E,2004.0,73.0,0.0
6479,GBA,Fighting,Ubisoft,T,2001.0,84.0,0.0
6480,XB,Simulation,Over 50 Under 150 Publisher,T,2003.0,77.0,0.0
6481,PC,Role-Playing,Take-Two Interactive,M,2006.0,94.0,0.0
6484,DS,Misc,Nintendo,E,2005.0,79.0,0.0
6485,PS2,Action,THQ,E10+,2006.0,56.0,0.0
6487,DS,Sports,Electronic Arts,E,2007.0,71.0,0.0
6492,GC,Adventure,Over 50 Under 150 Publisher,E,2002.0,81.0,0.0
6493,PSP,Racing,Sega,E,2007.0,74.0,0.0
6495,PS2,Sports,Take-Two Interactive,E,2000.0,46.0,0.0
6500,X360,Racing,Electronic Arts,E,2008.0,69.0,0.0
6501,XB,Misc,Activision,E10+,2005.0,52.0,0.0
6502,PS3,Racing,Electronic Arts,E,2008.0,65.0,0.0
6503,X360,Role-Playing,Under 50 Games Publisher,M,2012.0,52.0,0.0
6509,PS2,Misc,Over 50 Under 150 Publisher,E,2003.0,56.0,0.0
6510,XB,Sports,Electronic Arts,E,2002.0,64.0,0.0
6514,Wii,Action,Activision,E10+,2009.0,69.0,0.0
6518,PC,Simulation,Ubisoft,T,2010.0,62.0,0.0
6519,XB,Sports,Over 50 Under 150 Publisher,E,2003.0,80.0,0.0
6521,Wii,Role-Playing,Over 50 Under 150 Publisher,E10+,2009.0,64.0,0.0
6523,PS3,Action,Electronic Arts,E10+,2007.0,86.0,0.0
6526,3DS,Role-Playing,Under 5 Games Publisher,E10+,2015.0,67.0,0.0
6527,PS3,Racing,THQ,T,2007.0,71.0,0.0
6529,PC,Action,Over 50 Under 150 Publisher,E10+,2011.0,76.0,0.0
6530,PS,Action,Under 50 Games Publisher,E,2001.0,30.0,0.0
6532,X360,Sports,Over 50 Under 150 Publisher,M,2006.0,53.0,0.0
6534,PS4,Misc,Sony Computer Entertainment,M,2016.0,59.0,1.0
6535,PS3,Action,Over 50 Under 150 Publisher,M,2011.0,57.0,0.0
6536,XB,Shooter,Over 50 Under 150 Publisher,M,2004.0,73.0,0.0
6537,GBA,Puzzle,Activision,E,2001.0,88.0,0.0
6540,GC,Shooter,Electronic Arts,T,2005.0,71.0,0.0
6541,GC,Platform,Sega,E,2003.0,71.0,0.0
6542,X360,Action,Electronic Arts,E10+,2007.0,85.0,0.0
6543,GBA,Misc,Over 50 Under 150 Publisher,E,2001.0,48.0,0.0
6545,PS2,Racing,Sony Computer Entertainment,E,2002.0,83.0,0.0
6547,PS3,Action,Over 50 Under 150 Publisher,T,2010.0,42.0,0.0
6549,XB,Sports,Electronic Arts,E10+,2005.0,79.0,0.0
6552,PC,Strategy,Ubisoft,E10+,2015.0,72.0,0.0
6554,XB,Misc,Atari,E,2004.0,68.0,0.0
6555,PS,Fighting,Ubisoft,T,2000.0,53.0,0.0
