Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Forza Horizon 4,XOne,2018,Racing,Microsoft Studios,1.84,0.74,0.95,0.01,0.15,9.2,,Playground Games,E
Far Cry 5,XOne,2018,Action,Ubisoft,1.78,1.14,0.47,,0.17,7.2,,Ubisoft Montreal,M
NBA 2K19,XOne,2018,Sports,2K Sports,1.74,1.47,0.08,,0.18,,,Visual Concepts,E
Shadow of the Tomb Raider,PS4,2018,Action-Adventure,Square Enix,1.74,0.59,0.82,0.06,0.27,,,Eidos Montreal,M
Battlefield V,XOne,2018,Shooter,Electronic Arts,1.55,1.05,0.35,,0.15,,,EA DICE,M
Madden NFL 19,XOne,2018,Sports,EA Sports,1.51,1.33,0.02,,0.16,,,EA Tiburon,
Octopath Traveler,NS,2018,Role-Playing,Nintendo,1.5,,,,,8.1,8.7,Square Enix,T
Dragon Ball FighterZ,PS4,2018,Fighting,Namco Bandai Games,1.46,0.61,0.51,0.12,0.23,,,Arc System Works,T
Assassin's Creed Odyssey,XOne,2018,Action-Adventure,Ubisoft,1.39,0.91,0.35,,0.13,,,Ubisoft Quebec,M
Fallout 76,PS4,2018,Role-Playing,Bethesda Softworks,1.32,0.52,0.49,0.1,0.2,5.1,,Bethesda Game Studios,M
Shadow of the Colossus,PS4,2018,Action-Adventure,Sony Interactive Entertainment,1.2,0.44,0.52,0.05,0.19,9.3,,Bluepoint Games,T
Conan Exiles,PC,2018,Action-Adventure,Maximum Games,1.14,,,,,,,Funcom Oslo A/S,
Crash Bandicoot N. Sane Trilogy,NS,2018,Platform,Activision,1.11,0.44,0.57,0.02,0.09,6,,Toys for Bob,E10
Kingdom Come: Deliverance,PC,2018,Role-Playing,Warhorse Studios,1.1,,,,,,,Warhorse Studios,M
MLB The Show 18,PS4,2018,Sports,Sony Interactive Entertainment,1.06,0.86,,,0.2,,,SIE San Diego Studio,E
Nintendo Labo: Toy-Con 01 Variety Kit,NS,2018,Misc,Nintendo,1.06,,,,,7.7,,Nintendo EPD,E
Captain Toad: Treasure Tracker,NS,2018,Puzzle,Nintendo,1.05,,,,,8.1,,Nintendo EPD,E
WWE 2K19,PS4,2018,Fighting,2K Sports,0.98,0.36,0.46,,0.16,,,Visual Concepts,
EA Sports UFC 3,PS4,2018,Sports,EA Sports,0.97,0.4,0.41,0.01,0.16,,,EA Vancouver,T
Sea of Thieves,XOne,2018,Action-Adventure,Microsoft Studios,0.96,0.6,0.27,,0.09,6.9,,Rare Ltd.,T
Fallout 76,XOne,2018,Role-Playing,Bethesda Softworks,0.93,0.59,0.26,,0.09,5.1,,Bethesda Game Studios,M
Monster Hunter: World,XOne,2018,Action,Capcom,0.93,0.67,0.17,,0.09,9.4,,Capcom,T
Ni no Kuni II: Revenant Kingdom,PS4,2018,Role-Playing,Namco Bandai Games,0.89,0.33,0.31,0.12,0.13,8.7,,Level 5,T
The Crew 2,PS4,2018,Racing,Ubisoft,0.82,0.22,0.42,0.05,0.12,6.5,,Ivory Tower,T
Shadow of the Tomb Raider,XOne,2018,Action-Adventure,Square Enix,0.78,0.46,0.25,,0.07,,,Eidos Montreal,M
Just Dance 2019,NS,2018,Music,Ubisoft,0.76,0.43,0.26,,0.07,,,Ubisoft Paris,E
FIFA 19,NS,2018,Sports,Electronic Arts,0.75,0.18,0.47,0.06,0.05,5.9,,EA Sports,E
Monster Hunter Generations Ultimate,NS,2018,Action,Capcom,0.72,0.27,0.14,0.27,0.04,7.7,,Capcom,T
Bendy and the Ink Machine,PC,2018,Puzzle,Joey Drew Studios Inc.,0.72,,,,,,,TheMeatly Games,T
Astro Bot Rescue Mission,PS4,2018,Platform,Sony Interactive Entertainment,0.71,0.22,0.36,0.02,0.11,8.5,,SIE Japan Studio,E10
SoulCalibur VI,PS4,2018,Fighting,Bandai Namco Games,0.71,0.44,0.11,0.04,0.12,,,Project Soul,T
Fortnite,NS,2018,Shooter,Warner Bros. Interactive Entertainment,0.69,0.38,0.24,0.01,0.06,8.5,,Epic Games,T
Diablo III: Eternal Collection,NS,2018,Action,Blizzard Entertainment,0.67,0.38,0.22,0.01,0.06,9,,Blizzard Entertainment,M
Spyro Reignited Trilogy,XOne,2018,Platform,Activision,0.65,0.36,0.24,,0.06,,,Toys for Bob,
Crash Bandicoot N. Sane Trilogy,XOne,2018,Platform,Activision,0.65,0.23,0.37,,0.05,,,Vicarious Visions,E10
LEGO The Incredibles,NS,2018,Action,Warner Bros. Interactive Entertainment,0.63,0.35,0.21,0.01,0.06,6.5,,Traveller's Tales,E10
Farming Simulator 19,PC,2018,Simulation,Focus Home Interactive,0.58,,0.55,,0.03,,,Giants Software,E
Bayonetta 2,NS,2018,Action,Nintendo,0.57,0.26,0.2,0.07,0.04,9.5,,PlatinumGames,M
Starlink: Battle for Atlas,NS,2018,Action-Adventure,Ubisoft,0.57,0.35,0.17,,0.05,7.5,6,Ubisoft Toronto,E10
Just Cause 4,PS4,2018,Action-Adventure,Square Enix,0.56,0.18,0.26,0.03,0.09,,,Avalanche Studios,M
Kingdom Come: Deliverance,PS4,2018,Role-Playing,Deep Silver,0.56,0.18,0.28,,0.09,,,Warhorse Studios,M
LEGO The Incredibles,PS4,2018,Action,Warner Bros. Interactive Entertainment,0.53,0.18,0.27,,0.09,6.5,,Traveller's Tales,E10
F1 2018,PS4,2018,Racing,Codemasters,0.53,0.05,0.39,0.01,0.08,,,Codemasters Birmingham,E
Dragon Ball FighterZ,XOne,2018,Fighting,Namco Bandai Games,0.52,0.38,0.09,,0.05,,,Arc System Works,T
Hitman 2,PS4,2018,Action-Adventure,Warner Bros. Interactive Entertainment,0.51,0.19,0.22,0.02,0.08,,,IO Interactive,M
Yakuza 6: The Song of Life,PS4,2018,Adventure,Sega,0.5,,,,,,,Sega,M
Pro Evolution Soccer 2019,PS4,2018,Sports,Konami,0.5,0.06,0.23,0.15,0.05,,,Konami,E
Final Fantasy XV: Windows Edition,PC,2018,Role-Playing,Square Enix,0.49,,,,,,,Square Enix,T
Dark Souls: Remastered,PS4,2018,Role-Playing,Bandai Namco Entertainment,0.49,0.13,0.16,0.14,0.06,,,From Software,M
WWE 2K19,XOne,2018,Fighting,2K Sports,0.48,0.3,0.14,,0.04,,,Visual Concepts,
Jurassic World Evolution,PC,2018,Simulation,Frontier Developments,0.48,,,,,,,Frontier Developments,
A Way Out,PS4,2018,Action,Electronic Arts,0.48,0.23,0.16,,0.08,7.5,,Hazelight,M
Luigi's Mansion,3DS,2018,Adventure,Nintendo,0.47,0.19,0.16,0.09,0.03,7.3,,GREZZO,E
Jurassic World Evolution,PS4,2018,Simulation,Frontier Developments,0.47,0.14,0.25,,0.08,,,Frontier Developments,
Detective Pikachu,3DS,2018,Adventure,Nintendo,0.47,0.15,0.17,0.12,0.03,7.1,,Creatures Inc.,E
Farming Simulator 19,PS4,2018,Simulation,Focus Home Interactive,0.47,0.13,0.26,,0.07,,,Giants Software,E
Dissidia Final Fantasy NT,PS4,2018,Fighting,Square Enix,0.46,0.19,0.06,0.16,0.05,,,Square Enix,T
State of Decay 2,XOne,2018,Action-Adventure,Microsoft Studios,0.46,0.27,0.14,,0.04,7,,Undead Labs,M
LEGO DC Super-Villains,PS4,2018,Action-Adventure,Warner Bros. Interactive Entertainment,0.46,0.22,0.17,,0.08,,,Traveller's Tales,
Hyrule Warriors: Definitive Edition,NS,2018,Action,Nintendo,0.46,0.21,0.15,0.07,0.03,8,,Koei Tecmo Games,T
Dragon Ball FighterZ,PC,2018,Fighting,Namco Bandai Games,0.44,,,,,,,Arc System Works,T
EA Sports UFC 3,XOne,2018,Sports,EA Sports,0.44,0.3,0.1,,0.04,,,EA Vancouver,T
Dragon Ball FighterZ,NS,2018,Fighting,Bandai Namco Entertainment,0.44,0.21,0.13,0.07,0.03,9,,Arc System Works,T
LEGO DC Super-Villains,NS,2018,Action-Adventure,Warner Bros. Interactive Entertainment,0.44,0.28,0.12,,0.04,7.8,,Traveller's Tales,
NHL 19,PS4,2018,Sports,EA Sports,0.43,0.26,0.09,,0.08,,,EA Canada,
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,2018,Racing,Nintendo,0.41,0.16,0.15,0.06,0.03,7,,Nintendo EPD,E
Rocket League,NS,2018,Sports,505 Games,0.4,0.21,0.16,,0.03,9.2,,Psyonix Studios,E
