Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Test Drive Unlimited,PC,2007,Racing,Atari,0.02,,0.02,,0,7.8,,Eden Studios,E10
Puyo Puyo! 15th Anniversary,PSP,2007,Puzzle,Sega,0.02,,,0.02,,,,Sega,
Balls of Fury,Wii,2007,Sports,DSI Games,0.02,0.02,0,,0,,,Black Lantern Studios,E10
Disney's Meet the Robinsons,DS,2007,Action,Disney Interactive Studios,0.02,0.02,0,,0,,,Altron,E10
Tengen Toppa Gurren-Lagann,DS,2007,Action,Konami,0.02,,,0.02,,,,Konami,
Taito Legends 2,PS2,2007,Misc,Destineer,0.02,0.01,0.01,,0,,,Empire Oxford,T
Jinsei Game Wii,Wii,2007,Misc,Takara Tomy,0.02,,,0.02,,,,Takara Tomy,
Meitantei Evangelion,PS2,2007,Adventure,Broccoli,0.02,,,0.02,,,,Headlock,
World Championship Poker featuring Howard Lederer: All In,Wii,2007,Misc,Crave Entertainment,0.02,0.02,0,,0,,,Point of View,T
Overlord,PC,2007,Adventure,Codemasters,0.02,,0.02,,0,,,Triumph Studios,T
Shaberu! DS Oryouri Navi: Marugoto Teikoku Hotel: Saikouhou no Ryouri-chou ga Oshieru Katei Ryouri,DS,2007,Misc,KOEI,0.02,,,0.02,,,,Paon Corporation,
Super PickUps,PS2,2007,Racing,XS Games,0.02,0.01,0.01,,0,,,Milestone,E
The Fast and the Furious,PSP,2007,Racing,Namco Bandai,0.02,0.02,0,,0,,,Eutechnyx,T
Negima!? Chou Mahora Taisen Chuu: Checkiin Zenin Shuugou! Yappari Onsen Kichaimashitaa,DS,2007,Adventure,Marvelous Interactive,0.02,,,0.02,,,,Marvelous Interactive,
Spider-Man 3,PC,2007,Platform,Activision,0.02,0.02,0,,0,6.2,,Beenox,T
Nervous Brickdown,DS,2007,Puzzle,Secret Stash Games,0.02,0,0.01,,0,,,Arkedo Studio,E
Winning Post 7: Maximum 2007,PS2,2007,Sports,KOEI,0.02,,,0.02,,,,Koei,
B-17: Fortress in the Sky,DS,2007,Simulation,DSI Games,0.02,0.02,0,,0,,,Zoo Digital Publishing,E10
Mahjong * Dream C Club,X360,2007,Misc,Unknown,0.02,,,0.02,,,,Unknown,
Spanish for Everyone!,DS,2007,Puzzle,Activision,0.02,0.02,,,0,,,Humagade,E
Hellgate: London,PC,2007,Role-Playing,Electronic Arts,0.02,,0.02,,0,,,Flagship Studios,M
Super Fruit Fall,Wii,2007,Puzzle,Codemasters,0.02,0.01,0,,0,,,Nissimo,E
AIR,PSP,2007,Adventure,Prototype,0.02,,,0.02,,,,Key,
Katekyoo Hitman Reborn! Dream Hyper Battle!,PS2,2007,Fighting,Marvelous Interactive,0.02,,,0.02,,,,Marvelous Interactive,
Elvandia Story,PS2,2007,Role-Playing,Spike,0.02,,,0.02,,,,Spike,
Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,2007,Action,Marvelous Interactive,0.02,,,0.02,,,,Marvelous Interactive,
Guitar Freaks V3 & DrumMania V3,PS2,2007,Simulation,Konami,0.02,,,0.02,,,,Konami,
Snow Portable,PSP,2007,Adventure,Prototype,0.02,,,0.02,,,,Prototype,
Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Simulation,Konami,0.02,,,0.02,,,,Konami,
UFO: Trilogy,PC,2007,Strategy,Unknown,0.02,,0.02,,0,,,Altar Interactive,
Sega Ages 2500 Series Vol. 29: Monster World Complete Collection,PS2,2007,Role-Playing,Sega,0.02,,,0.02,,,,Sega,
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,D3 Publisher,0.02,0.01,0,,0,,,Vicious Cycle,E10
Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0.02,,,0.02,,,,QuinRose,
Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,Gakken,0.02,,,0.02,,,,Gakken,
Frisbee Disc Freestyle / Frisbee Disc Golf,DS,2007,Sports,DSI Games,0.02,0.02,,,0,,,Destination Software,E
Garfield's Nightmare,DS,2007,Platform,Game Factory,0.02,0.01,0,,0,,,Shin'en,E
Bakumatsu Renka: Karyuu Kenshi-den,PS2,2007,Adventure,D3 Publisher,0.02,,,0.02,,,,Vridge Inc.,
"Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere",PS2,2007,Adventure,Kadokawa Shoten,0.02,,,0.02,,,,Vridge,
Haneru no Tobira Wii: Girigirissu,Wii,2007,Misc,Namco Bandai,0.02,,,0.02,,,,Bandai Namco Games,
Balls of Fury,DS,2007,Sports,DSI Games,0.02,0.02,0,,0,,,Black Lantern Studios,E10
Myth Makers: Super Kart GP,Wii,2007,Racing,Conspiracy Entertainment,0.02,0.01,0,,0,,,Data Design Interactive,E
Kabushiki Baibai Trainer: Kabutore! Next,DS,2007,Simulation,Konami,0.02,,,0.02,,,,Kojima Productions,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock,PS2,2007,Misc,D3 Publisher,0.02,,,0.02,,,,Sankyo,
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,Misc,Codemasters,0.02,0.01,0,,0,,,1st Playable Productions,E
Worms,XBL,2007,Strategy,Microsoft,0.02,,0.02,,0,,,Team17 Software,E10
Amagoushi no Yakata,PS2,2007,Adventure,Nippon Ichi Software,0.02,,,0.02,,,,FOG (Full On Games),
Aedis Eclipse: Generation of Chaos,PSP,2007,Role-Playing,NIS America,0.02,0.02,,,0,5.8,,Neverland Company,E10
NEVES,DS,2007,Puzzle,Yuke's,0.02,0.01,0,,0,,,"BeeWorks Co., Ltd",E
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,PS2,2007,Adventure,Marvelous Interactive,0.02,,,0.02,,,,Marvelous Interactive,
Cube,PSP,2007,Puzzle,D3 Publisher,0.02,0.02,,,0,,,Metia Interactive,E
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,2007,Racing,Sunrise Interactive,0.02,,,0.02,,,,Atelier-Sai,
Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,2007,Misc,Gakken,0.02,,,0.02,,,,Gakken,
Pippa Funnell: Ranch Rescue,Wii,2007,Adventure,Ubisoft,0.02,,0.02,,0,,,Phoenix Interactive Entertainment,
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,2007,Simulation,Taito,0.02,,,0.02,,,,Taito Corporation,
Memories Off #5: Encore,PS2,2007,Adventure,CyberFront,0.02,,,0.02,,,,KID Corporation,
Zombie Hunters 2,PS2,2007,Action,Essential Games,0.02,,,0.02,,,,Tamsoft,
Cookie & Cream,DS,2007,Platform,Agetec,0.02,0.01,0,,0,,,From Software,E
Busou Renkin: Youkoso Papillon Park e,PS2,2007,Action,Marvelous Interactive,0.02,,,0.02,,,,Marvelous Interactive,
Ore wa Shoujo Mangaka,PSP,2007,Action,Unknown,0.02,,,0.02,,,,Giza10,
Zoey 101: Field Trip Fiasco,DS,2007,Action,THQ,0.02,0.02,,,0,,,THQ,E
Winning Post 7: Maximum 2007,PS3,2007,Sports,KOEI,0.02,,,0.02,,,,Koei,
Two Worlds,PC,2007,Role-Playing,SouthPeak Interactive,0.02,,0.02,,,7.4,,Reality Pump,M
Shinkyoku Soukai Polyphonica,PS2,2007,Adventure,Prototype,0.02,,,0.02,,,,Visual Arts,
San Goku Shi DS 2,DS,2007,Strategy,KOEI,0.02,,,0.02,,,,Koei,
Earth Defense Force 2017 (old JP sales),X360,2007,Shooter,D3 Publisher,0.02,,,0.02,,,,Sandlot,T
Monster Trux Offroad,Wii,2007,Racing,Bold Games,0.02,0.01,0,,0,,,Data Design Interactive,E
Triggerheart Exelica,DC,2007,Shooter,Warashi,0.02,,,0.02,,,,Warashi Inc.,
Tennis no Oji-Sama: Card Hunter,PS2,2007,Strategy,Konami,0.02,,,0.02,,,,WinkySoft,
Enemy Territory: Quake Wars,PC,2007,Shooter,Activision,0.02,0.01,0,,0,,,Splash Damage,T
Gears of War,PC,2007,Shooter,Microsoft Game Studios,0.02,0,0.01,,0,8.8,,Epic Games,M
Race Driver: Create & Race,DS,2007,Racing,Codemasters,0.02,0.01,0,,0,,,Firebrand Games,E
Pachinko Kaou: Misora Hibari,PS2,2007,Misc,Hackberry,0.02,,,0.02,,,,Hack Berry,
FIFA Soccer 08,PC,2007,Sports,EA Sports,0.02,,0.01,,0,,,EA Canada,E
Ouran Koukou Host Bu,PS2,2007,Adventure,Idea Factory,0.02,,,0.02,,,,Idea Factory,
Chameleon: To Dye For!,DS,2007,Puzzle,UFO Interactive,0.01,0.01,,,0,,,Starfish,E
Dragon Zakura DS,DS,2007,Misc,Electronic Arts,0.01,,,0.01,,,,EA Japan Studio,
Wiffle Ball Advance,DS,2007,Sports,"Destination Software, Inc",0.01,0.01,,,0,,,Skyworks Technologies,E
Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007,Misc,D3 Publisher,0.01,,,0.01,,,,Vingt-et-un Systems,
LifeSigns: Surgical Unit,DS,2007,Simulation,DreamCatcher Interactive,0.01,0.01,0.01,,0,,,Spike,T
Neverwinter Nights 2: Mask of the Betrayer,PC,2007,Role-Playing,Atari,0.01,,0.01,,0,8,,Obsidian Entertainment,T
Call of Juarez,PC,2007,Shooter,Ubisoft,0.01,,0.01,,0,6.7,,Techland,M
Nodame Cantabile,PS2,2007,Misc,Banpresto,0.01,,,0.01,,,,Banpresto,
UEFA Champions League 2006-2007,PSP,2007,Sports,EA Sports,0.01,0.01,0,,0,,,EA Canada,E
Pippa Funnell 2: Farm Adventures,DS,2007,Simulation,Ubisoft,0.01,,0.01,,0,,,DTP Entertainment,
Jewel Quest II,PC,2007,Puzzle,iWin,0.01,,0.01,,0,,,iWin,E
SoulCalibur Legends (JP sales),Wii,2007,Action,Namco Bandai,0.01,,,0.01,,,,Project Soul,T
Rozen Maiden: Gebetgarten,PS2,2007,Fighting,Taito,0.01,,,0.01,,,,Taito Corporation,
Metal Slug Anthology,PS2,2007,Shooter,SNK Playmore,0.01,,,0.01,,,,Terminal Reality,T
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,PS2,2007,Strategy,D3 Publisher,0.01,,,0.01,,,,Tamsoft,
Virtua Tennis 3,PC,2007,Sports,Sega,0.01,,0.01,,0,,,Sumo Digital,
Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0.01,,,0.01,,,,Marvelous Interactive,
Tomoyo After: It's a Wonderful Life CS Edition,PS2,2007,Adventure,Prototype,0.01,,,0.01,,,,Key,
Spider-Man: Friend or Foe,PC,2007,Action,Activision,0.01,0.01,0,,0,5.6,,Beenox,E10
Sengoku Basara 2 Heroes,Wii,2007,Action,Capcom,0.01,,,0.01,,,,Capcom,
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,PS2,2007,Adventure,Datam Polystar,0.01,,,0.01,,,,Datam Polystar,
F.E.A.R. Perseus Mandate,PC,2007,Shooter,Sierra Entertainment,0.01,0.01,,,0,,,TimeGate,M
Jinsei Game Q DS: Shouwa no Dekigoto,DS,2007,Misc,Takara Tomy,0.01,,,0.01,,,,Takara Tomy,
Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,2007,Misc,Sega,0.01,,,0.01,,,,Sega,
Goku Makaimura Kai,PSP,2007,Platform,Capcom,0.01,,,0.01,,,,Capcom,
Myself; Yourself,PS2,2007,Adventure,Yeti,0.01,,,0.01,,,,Yeti,
Slide Adventure: Mag Kid,DS,2007,Action,Nintendo,0.01,,,0.01,,,,Agenda,
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,Adventure,Alchemist,0.01,,,0.01,,,,Alchemist,
Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2007,Fighting,SNK Playmore,0.01,,,0.01,,,,SNK Playmore Corporation,T
Surf's Up,GC,2007,Sports,Ubisoft,0.01,0.01,0,,0,,,Ubisoft Montreal,E10
TimeShift,PC,2007,Shooter,Sierra Entertainment,0.01,0.01,0,,0,,,Saber Interactive,M
Jam Sessions: Sing and Play Guitar (jp sales),DS,2007,Misc,Ubisoft,0.01,,,0.01,,,,Plato,E10
Smart Kid's Gameclub,DS,2007,Misc,UFO Interactive,0.01,0.01,,,,,,Starfish Inc.,E
Fashionable Puppy: Oshare na Koinu DS,DS,2007,Simulation,MTO,0.01,,,0.01,,,,MTO,
Idol Janshi Suchie-Pai IV,PS2,2007,Misc,Jaleco,0.01,,,0.01,,,,Jaleco Entertainment,
Monster Jam,PC,2007,Racing,Activision,0.01,0.01,0,,0,,,Torus Games,E
Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0.01,0.01,,,0,,,Magellan Interactive,T
Battlestations: Midway,PC,2007,Strategy,Eidos Interactive,0.01,,0.01,,0,7.7,,Eidos Hungary,T
Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,Konami,0.01,,,0.01,,,,Konami,
Petz: Hamsterz Life 2,GBA,2007,Misc,Ubisoft,0.01,0.01,0,,0,,,Jorudan,E
San-X: Chara Sagashi Land,DS,2007,Action,MTO,0.01,,,0.01,,,,MTO,
Vitamin X,PS2,2007,Adventure,D3 Publisher,0.01,,,0.01,,,,HuneX,
The Wild West,DS,2007,Action,Majesco,0.01,0.01,,,0,,,Happy Happening,E10
Routes PE,PS2,2007,Adventure,Aquaplus,0.01,,,0.01,,,,Aquaplus,
Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,Aksys Games,0.01,,0,0.01,0,5.6,,Barnhouse Effect,T
G1 Jockey 4 2007,PS2,2007,Sports,KOEI,0.01,,,0.01,,,,Koei/Inis,
Luxor: Pharaoh's Challenge,DS,2007,Puzzle,Mumbo Jumbo,0.01,,0.01,,0,,,Mac Play,E
Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,Fighting,Capcom,0.01,,,0.01,,,,Capcom,
Winning Eleven: Pro Evolution Soccer 2007,PC,2007,Sports,Konami,0.01,,0.01,,0,,,Konami Computer Entertainment Tokyo,E
Sega Rally Revo,PC,2007,Racing,Sega,0.01,,0.01,,0,,,Sega Racing Studio,E
Magicians Academy,PS2,2007,Role-Playing,Enterbrain,0.01,,,0.01,,,,Enterbrain,
Teenage Mutant Ninja Turtles,VC,2007,Platform,Konami Digital Entertainment,0.01,,0.01,,0,,,Konami,E
Clive Barker's Jericho,PC,2007,Shooter,Codemasters,0.01,,0.01,,0,6.4,,Mercury Steam / Alchemic Productions,M
World Snooker Championship 2007,X360,2007,Sports,Sega,0.01,,0.01,,0,,,Blade Interactive,
Palais de Reine,PS2,2007,Strategy,Interchannel-Holon,0.01,,,0.01,,,,Kogado Studio,
Hospital Tycoon,PC,2007,Strategy,Codemasters,0.01,,0.01,,0,4,,Big Red Software,E10
Mahou Sensei Negima!? Neo-Pactio Fight!!,Wii,2007,Fighting,Marvelous Interactive,0.01,,,0.01,,,,Marvelous Interactive,
Full Auto 2: Battlelines,PSP,2007,Racing,Sega,0.01,0,0,,0,5.5,,Deep Fried Entertainment,T
Original Frisbee Disc Sports: Ultimate & Golf,DS,2007,Action,"Destination Software, Inc",0.01,0.01,,,0,,,Unknown,E
Eiyuu Densetsu: Sora no Kiseki Material Collection Portable,PSP,2007,Role-Playing,Falcom Corporation,0.01,,,0.01,,,,Nihon Falcom Corporation,
Mini Desktop Racing,Wii,2007,Racing,Conspiracy Entertainment,0.01,0.01,0,,0,,,DDI,E
To Heart 2: Another Days,PSP,2007,Misc,Unknown,0.01,,,0.01,,,,Unknown,
CSI: Hard Evidence,PC,2007,Adventure,Ubisoft,0.01,,0.01,,0,,,Telltale Games,M
Pro Evolution Soccer 2008,PC,2007,Sports,Konami,0.01,,0.01,,0,,,Konami,
Anime Slot Revolution: Pachi-Slot Mobile Suit Gundam II - Ai Senshi Hen,Wii,2007,Misc,Yamasa Entertainment,0.01,,,0.01,,,,Yamasa Entertainment,
The Sims 2: Celebration Stuff,PC,2007,Simulation,Electronic Arts,0.01,,0.01,,0,,,Maxis,T
Horsez,GBA,2007,Simulation,Ubisoft,0.01,0.01,0,,0,,,MTO,E
Mist of Chaos,PS3,2007,Action,Idea Factory,0.01,,,0.01,,,,Idea Factory,
Zoo Tycoon 2: Extinct Animals,PC,2007,Strategy,Microsoft Game Studios,0.01,0.01,0,,0,7.6,,Blue Fang Games,E10
UFO: Extraterrestrials,PC,2007,Strategy,Tri Synergy,0.01,,0.01,,0,,,Chaos Concept,E10
Steel Horizon,DS,2007,Strategy,Konami,0.01,0.01,,,0,,,Climax Group,E10
NHL 08,PC,2007,Sports,Electronic Arts,0.01,,0.01,,0,,,Electronic Arts,E10
WarTech: Senko no Ronde (JP sales),X360,2007,Action,Ubisoft,0.01,,,0.01,,,,G.Rev,T
Winx Club: Join the Club,PSP,2007,Platform,Konami,0.01,0.01,,,0,3.6,,n-Space,E
A.C.E.: Another Century's Episode 2 - Special Vocal Version,PS2,2007,Simulation,Banpresto,0.01,,,0.01,,,,From Software,
Capcom Puzzle World,PSP,2007,Puzzle,Capcom,0.01,0.01,0,,0,7.4,,Capcom,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,PC,2007,Shooter,Ubisoft,0.01,,0.01,,0,,,GRIN,T
Shinkyouku Soukai Polyphonica: 3&4 Hanashi Kanketsuhen,PS2,2007,Adventure,Prototype,0.01,,,0.01,,,,Visual Arts,
Pawly Pets: My Pet Hotel,DS,2007,Simulation,Ubisoft,0.01,,0.01,,0,,,DTP Young Entertainment,
Time Ace,DS,2007,Simulation,Konami,0.01,0.01,,,0,,,Trainwreck Studios,E10
MetropolisMania 2,PS2,2007,Strategy,Natsume,0.01,0,0,,0,4.3,,Indi Software,E10
Jissen Pachi-Slot Pachinko Hisshouhou! Wii Hokuto no Ken Sammy's Collection,Wii,2007,Misc,Sega,0.01,,,0.01,,,,Sammy Studios,
Brian Lara International Cricket 2007,X360,2007,Sports,Codemasters,0.01,,0.01,,0,7.3,,Codemasters,
The Sims 2: H&M Fashion Stuff,PC,2007,Simulation,Electronic Arts,0.01,,0.01,,0,,,Maxis Software,T
Yosumin. DS,DS,2007,Puzzle,Square Enix,0.01,,,0.01,,,,Square Enix,
Gurumin: A Monstrous Adventure,PSP,2007,Role-Playing,Mastiff,0.01,0.01,0,,0,7.4,,Nihon Falcom Corporation,E10
Nodame Cantabile: Dream * Orchestra,Wii,2007,Misc,Namco Bandai,0.01,,,0.01,,,,Bandai Namco Games,
Rezel Cross,PSP,2007,Role-Playing,Sony Computer Entertainment,0.01,,,0.01,,,,SIMS,
The King of Fighters NESTS Collection,PS2,2007,Fighting,SNK Playmore,0.01,,,0.01,,,,SNK Playmore Corporation,
Eiyuu Densetsu: Sora no Kiseki FC & SC Kanzenban,PSP,2007,Role-Playing,Falcom Corporation,0.01,,,0.01,,,,Nihon Falcom Corporation,
After Burner: Black Falcon,PSP,2007,Simulation,Sega,0.01,0.01,0,,0,7.4,,Planet Moon Studios,T
Castle of Shikigami III,X360,2007,Shooter,Arc System Works,0.01,,,0.01,,,,Alfa System,
The Sims: Life Stories,PC,2007,Simulation,Electronic Arts,0.01,,0.01,,0,,,Maxis,T
Traxxpad: Portable Studio,PSP,2007,Misc,Eidos Interactive,0.01,0.01,,,0,,,Definitive Studios,E10
Micro Machines V4,DS,2007,Racing,Codemasters,0.01,0.01,0,,0,,,Supersonic Software,E
Championship Manager 2007,X360,2007,Sports,Eidos Interactive,0.01,,0.01,,0,,,Beautiful Game Studios,
Hoshiiro no Okurimono,PS2,2007,Adventure,Takuyo,0.01,,,0.01,,,,Takuyo,
7 Wonders of the Ancient World,PC,2007,Puzzle,Mumbo Jumbo,0.01,,0.01,,0,,,Hot Lava Games,E
Madden NFL 08,PC,2007,Sports,EA Sports,0.01,,0.01,,0,,,EA Tiburon,E
Gegege no Kitarou: Youkai Daiundoukai,Wii,2007,Action,Bandai,0.01,,,0.01,,,,Bandai,
Universe at War: Earth Assault,PC,2007,Strategy,Sega,0.01,0,0,,0,,,Petroglyph Games,T
Sonic Mega Collection Plus,PC,2007,Misc,Sega,0.01,,0.01,,0,,,Sonic Team,E
Europa Universalis III,PC,2007,Strategy,Paradox Interactive,0.01,,0.01,,0,,,Paradox Interactive,E
Steel Horizon,PSP,2007,Strategy,Konami,0.01,0.01,,,0,,,Climax Group,E10
Brian Lara 2007 Pressure Play,PSP,2007,Sports,Codemasters,0.01,,0,,0,,,Codemasters,
Fashion Designer: Style Icon,DS,2007,Simulation,505 Games,0.01,,0,,0,,,Creative Pattern,
The Aly & AJ Adventure,DS,2007,Adventure,"Destination Software, Inc",0.01,0,,,0,,,Frame Studios Interactive,E
theta,DS,2007,Puzzle,Nintendo,0.01,,,0.01,,,,VITEI,
Nancy Drew: The Deadly Secret of Olde World Park,DS,2007,Adventure,Majesco,0.01,0,,,0,,,Gorilla Systems,E
Blacksite: Area 51,PC,2007,Shooter,Midway Games,0,,0,,0,,,Midway Studios Austin,T
Fossil League: Dino Tournament Championship,DS,2007,Role-Playing,D3 Publisher,0,0,,,0,,,MTO,E
My Pet Dolphin,DS,2007,Simulation,505 Games,0,,0,,0,,,Starfish,
Jade Empire: Special Edition,PC,2007,Role-Playing,2K Games,0,,0,,0,7.8,,BioWare Corp.,
Smart Kid's Gameclub,DS,2007,Misc,UFO Interactive,0,0,,,0,,,Tommo,E
The Sims 2: Teen Style Stuff,PC,2007,Simulation,Electronic Arts,0,,0,,0,,,Maxis Software,T
Pimp My Ride,PSP,2007,Racing,Activision,0,0,0,,0,,,Eutechnyx,T
TOCA Race Driver 3 Challenge,PSP,2007,Racing,Codemasters,0,,0,,0,,,Codemasters,E10
Civilization IV: Beyond the Sword,PC,2007,Strategy,2K Games,0,,0,,0,,,Firaxis Games,E10
Offroad Extreme! Special Edition,Wii,2007,Racing,Conspiracy Entertainment,0,0,0,,0,,,Data Design Interactive,E
World Snooker Challenge 2007,PSP,2007,Sports,Sega,0,,0,,0,,,Blade Interactive,
Kouenji Joshi Soccer 2: Koi wa Nebagiba Kouenji,DS,2007,Adventure,Starfish,0,,,0,,,,Starfish SD,
My Traffic X,PC,2007,Simulation,Aerosoft,0,,0,,0,,,Aerosoft,
Yamasa Digi World SP: Pachi-Slot Sengoku Musou,PS3,2007,Misc,Yamasa Entertainment,0,,,0,,,,Yamasa Entertainment,
Hearts of Iron Anthology,PC,2007,Strategy,Paradox Interactive,0,,0,,0,,,Paradox Interactive,E
Telly Addicts,DS,2007,Misc,Ubisoft,0,,0,,0,,,Ubisoft,
International Cricket Captain III,PSP,2007,Sports,Empire Interactive,0,,0,,0,,,Atomic Planet Entertainment,
Azada,PC,2007,Adventure,Encore,0,,0,,0,,,Big Fish Games,E
Rhythm 'n Notes: Improve Your Music Skills,DS,2007,Misc,Agetec,0,0,,,0,,,Success,E
Final Fantasy XI: The Vana'diel Collection,X360,2007,Role-Playing,Square Enix,0,0,,,0,,,Square Enix,
Shrek Smash n' Crash Racing,DS,2007,Racing,Activision,0,,0,,0,,,Torus Games,E
World Snooker Championship: Season 2007-08,DS,2007,Sports,Blade Interactive,0,,0,,0,,,Blade Interactive,
Mystery P.I.: The Lottery Ticket,PC,2007,Puzzle,PopCap Games,0,,0,,0,,,SpinTop Games,
NBA Live 08,PC,2007,Sports,EA Sports,0,,0,,0,,,EA Canada,E
My French Coach Level 2,DS,2007,Misc,Ubisoft,0,,0,,0,,,Sensory Sweep Studios,
Thrillville: Off the Rails,PC,2007,Strategy,LucasArts,0,,0,,0,8.1,,Frontier Developments,E10
FIFA Manager 08,PC,2007,Sports,EA Sports,0,,0,,0,,,Bright Future GmbH,
Vanguard: Saga of Heroes,PC,2007,Role-Playing,Sony Online Entertainment,0,,0,,0,,,Sigil Games Online/Sony Online Entertainment,T
Championship Manager 2007,PSP,2007,Sports,Eidos Interactive,0,,0,,0,,,Beautiful Game Studios,
Bee Movie Game,PC,2007,Action,Activision,0,0,,,0,,,Beenox,E
Chessmaster: Grandmaster Edition,PC,2007,Strategy,Ubisoft,0,,0,,0,,,Ubisoft,E
The History Channel: Great Battles of Rome,PSP,2007,Strategy,Black Bean Games,0,,0,,0,,,Slitherine Software,
My Spanish Coach,Wii,2007,Misc,Ubisoft,0,,0,,0,,,Sensory Sweep Studios,
Championship Manager 2008,PC,2007,Sports,GamersGate,0,,0,,0,,,Beautiful Game Studios,
Alpha Prime,PC,2007,Shooter,Meridian4,0,,0,,0,,,Black Element,
Nostradamus: The Last Prophecy,PC,2007,Adventure,MC2 Entertainment,0,,0,,0,,,Kheops Studio,E10
7 Wonders II,PC,2007,Puzzle,Mumbo Jumbo,0,,0,,0,,,Hot Lava Games,E
18 Wheels of Steel: American Long Haul,PC,2007,Racing,ValuSoft,0,,0,,0,,,SCS Software,E
Classic British Motor Racing,Wii,2007,Racing,Bold Games,0,0,0,,0,,,DDI,E
The Elder Scrolls IV: Oblivion - Game of the Year Edition,X360,2007,Role-Playing,2K Games,0,,0,,0,8.5,,Bethesda Softworks,M
Rugby 08,PC,2007,Sports,EA Sports,0,,0,,0,,,EA Canada,
Telly Addicts,PSP,2007,Misc,Ubisoft,0,,0,,0,,,Route 1 Games,
Clever Kids: Dino Land,DS,2007,Misc,Midas Interactive Entertainment,0,,0,,0,,,Gamerholix,
Driver: Parallel Lines,PC,2007,Racing,Ubisoft,0,,0,,0,,,Reflections Interactive,M
Alan Hansen's Sports Challenge,Wii,2007,Misc,Oxygen Interactive,0,,0,,0,,,Oxygen Interactive,
Agatha Christie: Evil Under the Sun,PC,2007,Adventure,The Adventure Company,0,,0,,0,,,AWE Games,T
Little Britain: The Video Game,PSP,2007,Misc,Blast! Entertainment Ltd,0,,0,,0,,,Revolution Studios / Gamerholix,
My French Coach,Wii,2007,Misc,Ubisoft,0,,0,,0,,,Sensory Sweep Studios,
Marvel Trading Card Game,PSP,2007,Misc,Konami,0,0,0,,0,,,Vicious Cycle,T
ProStroke Golf: World Tour 2007,PSP,2007,Sports,SouthPeak Interactive,0,,0,,0,,,Oxygen Games,E
Clever Kids: Pony World,DS,2007,Misc,Midas Interactive Entertainment,0,,0,,0,,,Gamerholix,
Strawberry Shortcake: The Four Seasons Cake,DS,2007,Platform,Game Factory,0,,0,,0,,,Shin'en,E
Frontline: Fields of Thunder,PC,2007,Strategy,Paradox Interactive,0,,0,,0,,,Nival Interactive / N-Game Studios,T
Kane & Lynch: Dead Men,PC,2007,Shooter,Eidos Interactive,0,,0,,0,,,IO Interactive,M
F24: Stealth Fighter,DS,2007,Simulation,Majesco,0,,0,,0,,,Skyworks Technologies,E10
Shadowrun (2007),PC,2007,Shooter,Microsoft Game Studios,0,,0,,0,,,FASA Studios,M
Lost Planet: Extreme Condition,PC,2007,Shooter,Capcom,0,,0,,0,,,Capcom,
Pogo Island,DS,2007,Adventure,Electronic Arts,0,,0,,0,,,Electronic Arts,E
Penumbra: Overture,PC,2007,Adventure,Got Game Entertainment,0,,0,,0,6.9,,Frictional Games,M
The Magician's Handbook: Cursed Valley,PC,2007,Puzzle,Unknown,0,,0,,0,,,BCI Software,E
Runaway: The Dream of the Turtle,DS,2007,Adventure,Focus Home Interactive,0,,0,,0,,,Cyanide,
Routes Portable,PSP,2007,Adventure,Aquaplus,0,,,0,,,,Aquaplus,
Dora the Explorer Double Pak,GBA,2007,Adventure,Global Star Software,0,0,0,,0,,,CineGroupe / ImaginEngine,E
Ancient Wars: Sparta,PC,2007,Strategy,Playlogic Game Factory,0,,0,,0,,,World Forge,M
Paper Mario,VC,2007,Role-Playing,Nintendo,0,,0,,0,9,,Intelligent Systems,E
